ye,ma,co,zcode,brd,type,brand,model,org,loc,cla,home,frm,qu,cy,hp,we,pl,do,le,wi,he,li1,li2,li3,li,sp,ac,pr,princ,eurpr,exppr,avexr,avdexr,avcpr,avppr,avdcpr,avdppr,xexr,tax,pop,ngdp,rgdp,engdp,ergdp,engdpc,ergdpc
85,Belgium,6,3,AlfaRomeo,alfa 90,alfa romeo,90,Italy,Italy,standard,0,AlfaRomeo,421,1962,94,1080,5,4,439,164,142,6.5,8.8000002,12.2,9.166667,190,,592375,1.2081784,10052.565,309.16913,1916.0225,58.927742,75.891663,84.895088,90.088455,110.84995,.030755246,.25,9860000,4834399879168,5644800229376,82039455744,95791898624,8320.4316,9715.2031
86,Belgium,6,3,AlfaRomeo,alfa 90,alfa romeo,90,Italy,Italy,standard,0,AlfaRomeo,270,1962,94,1080,5,4,439,164,142,6.5,8.8000002,12.2,9.166667,190,,655000,1.2700938,12639.782,377.89468,1733.2871,51.820515,80.308334,85.047867,91.255554,98.115952,.029897248,.25,9860000,5084899966976,5728999833600,98125234176,110554669056,9951.8496,11212.441
87,Belgium,6,3,AlfaRomeo,alfa 90,alfa romeo,90,Italy,Italy,standard,0,Fiat,159,2492,115,1080,5,4,439,164,142,7,9.1000004,13,9.6999998,200,8.3999996,779000,1.4456033,16190.167,464.69171,1676.3802,48.115623,84.116669,87.594215,92.674103,93.25135,.028702093,.25,9870000,5318699909120,5864300216320,110539980800,121879339008,11199.593,12348.464
73,Belgium,7,3,AlfaRomeo,alfetta (GTV),alfa romeo,GTV,Italy,Italy,standard,0,AlfaRomeo,414,1749,89.5,1060,5,4,428,162,143,11.5,11.5,11.5,11.5,180,,222375,1.2152457,4777.1182,315.29877,705.28345,46.550034,13.091667,,37.077389,,.066001877,.25,9740000,1782300016640,4560131194880,38287835136,97961934848,3930.9893,10057.693
74,Belgium,7,3,AlfaRomeo,alfetta (GTV),alfa romeo,GTV,Italy,Italy,standard,0,AlfaRomeo,371,1749,90,1060,5,4,428,162,143,11.5,11.5,11.5,11.5,180,,239875,1.1208469,5224.8564,308.41406,777.76935,45.910351,15.591667,,41.778015,,.059028234,.25,9770000,2090899996672,4754294439936,45543104512,103556046848,4661.5254,10599.391
75,Belgium,7,3,AlfaRomeo,alfetta (GTV),alfa romeo,GTV,Italy,Italy,standard,0,AlfaRomeo,1116,1749,90,1040,5,4,424,166.5,133,9.1999998,9.1999998,9.1999998,9.1999998,175,,242500,1.0263608,5399.0234,306.15756,792.07581,44.915531,18.225,,47.11232,,.056706101,.25,9790000,2313099935744,4682313367552,51498889216,104247091200,5260.3564,10648.324
76,Belgium,7,3,AlfaRomeo,alfetta (GTV),alfa romeo,GTV,Italy,Italy,standard,0,AlfaRomeo,1296,1749,90,1040,5,4,424,166.5,133,9.1999998,9.1999998,9.1999998,9.1999998,175,,275975,1.0283024,6273.0254,279.74014,986.54053,43.993923,21.291668,,51.429401,,.044594135,.25,9810000,2632800010240,4948303020032,59844628480,112476962816,6100.3701,11465.542
77,Belgium,7,3,AlfaRomeo,alfetta (GTV),alfa romeo,GTV,Italy,Italy,standard,0,AlfaRomeo,1894,1779,87,1060,5,4,428,162,143,6.5,10,13.5,10,180,,301750,1.0408828,7269.1772,291.17328,1036.3245,41.510887,25.191666,,55.084106,,.040055878,.25,9820000,2846799953920,4976879337472,68579598336,119893352448,6983.666,12209.099
78,Belgium,7,3,AlfaRomeo,alfetta (GTV),alfa romeo,GTV,Italy,Italy,standard,0,AlfaRomeo,1399,1570,80,1040,5,4,424,162,143,9.1999998,9.1999998,9.1999998,9.1999998,175,,283750,.91223919,7269.4697,267.09323,1062.3632,39.033108,28.233334,,57.546692,,.036741775,.25,9830000,3057599905792,5118832934912,78333501440,131140796416,7968.8203,13340.874
79,Belgium,7,3,AlfaRomeo,alfetta (GTV),alfa romeo,GTV,Italy,Italy,standard,0,AlfaRomeo,920,1962,90,1080,4,3,421,166,133,6.9000001,9.6000004,13.4,9.9666672,185,,397375,1.1977119,10572.854,372.0799,1067.983,37.584461,32.424999,,60.118504,,.035192002,.25,9840000,3264699957248,5229430439936,86863020032,139138105344,8827.543,14140.052
